method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
ecomann,proj_true_dist,0.2,21,0.7989723426955087,0.3218469816941221,0.2,0.7989723426955087,0.0,0.0
ecomann,proj_true_dist,0.5,21,0.8268933423927852,0.426717288560268,0.2,0.7989723426955087,0.02792099969727657,3.494614044220723
ecomann,proj_true_dist,0.75,21,0.7952700243109748,0.41002588226245834,0.2,0.7989723426955087,-0.0037023183845338314,-0.4633850493551813
ecomann,proj_true_dist,1.0,21,0.617612627290544,0.297813856837298,0.2,0.7989723426955087,-0.18135971540496465,-22.699123075162756
ecomann,proj_true_dist,1.5,21,0.5473529994487762,0.2228001139349182,0.2,0.7989723426955087,-0.2516193432467324,-31.492872756751417
ecomann,proj_true_dist,3.0,21,0.6313026079109737,0.33128621816420073,0.2,0.7989723426955087,-0.16766973478453495,-20.985674450114793
ecomann,proj_manifold_dist,0.2,21,0.4783451230753036,0.15787135302098235,0.2,0.4783451230753036,0.0,0.0
ecomann,proj_manifold_dist,0.5,21,0.41560469071070355,0.15089756482767167,0.2,0.4783451230753036,-0.06274043236460003,-13.116143415707636
ecomann,proj_manifold_dist,0.75,21,0.4431478423731668,0.19986695680726524,0.2,0.4783451230753036,-0.03519728070213679,-7.35813516313322
ecomann,proj_manifold_dist,1.0,21,0.34162026714710964,0.189479272920792,0.2,0.4783451230753036,-0.13672485592819394,-28.58288907581692
ecomann,proj_manifold_dist,1.5,21,0.29495120474270414,0.1212244725756171,0.2,0.4783451230753036,-0.18339391833259944,-38.33924701762426
ecomann,proj_manifold_dist,3.0,21,0.3570960703350249,0.1517383406135052,0.2,0.4783451230753036,-0.1212490527402787,-25.34760926603845
ecomann,bidirectional_chamfer,0.2,21,0.8507961999802363,0.5175479318047826,0.2,0.8507961999802363,0.0,0.0
ecomann,bidirectional_chamfer,0.5,21,0.6869797103461766,0.48908107796381745,0.2,0.8507961999802363,-0.1638164896340597,-19.254492396400586
ecomann,bidirectional_chamfer,0.75,21,0.6922663166409447,0.44946384079247315,0.2,0.8507961999802363,-0.15852988333929152,-18.633120757118345
ecomann,bidirectional_chamfer,1.0,21,0.4904692392973673,0.402774431163224,0.2,0.8507961999802363,-0.36032696068286896,-42.3517360198881
ecomann,bidirectional_chamfer,1.5,21,0.38671502009743736,0.22181458315924363,0.2,0.8507961999802363,-0.4640811798827989,-54.546691662889344
ecomann,bidirectional_chamfer,3.0,21,0.4652161527247656,0.24254059540798265,0.2,0.8507961999802363,-0.3855800472554707,-45.319907078149576
ecomann,pred_recall,0.2,21,0.6553595731089169,0.24770665328725236,0.2,0.6553595731089169,0.0,0.0
ecomann,pred_recall,0.5,21,0.6778772936947697,0.18017835326158002,0.2,0.6553595731089169,0.022517720585852774,3.4359337239910066
ecomann,pred_recall,0.75,21,0.7183156503585201,0.11824572116717767,0.2,0.6553595731089169,0.06295607724960317,9.606341286959463
ecomann,pred_recall,1.0,21,0.807686177537993,0.0794387114970208,0.2,0.6553595731089169,0.15232660442907608,23.243210396159164
ecomann,pred_recall,1.5,21,0.84383101707194,0.07430235518158132,0.2,0.6553595731089169,0.18847144396302307,28.758478810181387
ecomann,pred_recall,3.0,21,0.8410130099478308,0.07631089984006818,0.2,0.6553595731089169,0.1856534368389139,28.32848476725606
ecomann,pred_precision,0.2,21,0.022298177083333332,0.039003276434639716,0.2,0.022298177083333332,0.0,0.0
